Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Forma de producto de mampostería (product.metafields.shopify.masonry-product-form),Adecuado para tipo de material (product.metafields.shopify.suitable-for-material-type),Espacio adecuado (product.metafields.shopify.suitable-space),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
adhesivo-para-ceramico-marca-weber-x-30kg,,,,,,,,,x40,,,,,,,,,2500000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
arena-de-rio-x-m3,ARENA DE RIO X M3,"<p>Arena de río por m³, material natural lavado ideal para mezclas de albañilería, contrapisos y revoques. Su granulometría fina y uniforme asegura excelente trabajabilidad y adherencia. Producto limpio y seco, listo para usar en todo tipo de obra.</p>",Servicios Arneaz,,"","",true,Cantidad,X 1 M3,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
arena-de-rio-x-m3,,,,,,,,,X 2 M3,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
arena-de-rio-x-m3,,,,,,,,,X 3 M3,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
arena-de-rio-x-m3,,,,,,,,,X 4 M3,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
arena-de-rio-x-m3,,,,,,,,,X 5 M3,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
arena-de-rio-x-m3,,,,,,,,,X 20 M3,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
tarugo-espiga-para-ladrillo-hueco-para-fijaciones-de-nylon-n6,Tarugo Espiga Para Ladrillo Hueco Para Fijaciones De Nylon N6,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,20000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
tarugo-comun-de-nylon-n6,Tarugo Común De Nylon N6,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,1000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
placa-de-yeso-knauf-125mm-120-x-2-40-mts-construccion-seco,"Placa De Yeso Knauf 12,5mm 1,20 X 2.40 Mts Construccion Seco","",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,2000000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
arquitecto,ARQUITECTO,"<p>Profesional especializado en diseñar, planificar y optimizar espacios. Integra estética, técnica y seguridad para transformar ideas en proyectos funcionales. Coordina oficios, gestiona planos y garantiza soluciones eficientes para cada hogar.</p>
<ul>
<li>
<span style=""color: #000000;""><strong>Diseño Arquitectónico:</strong></span> Creación de planos y diseños para edificios y espacios.</li>
<li class=""MsoNoSpacing"">
<strong>Planificación Urbana: </strong>Desarrollo de planes para el uso del suelo en áreas urbanas.</li>
<li class=""MsoNoSpacing"">
<strong>Consultoría:</strong> Asesoramiento sobre normativas, materiales y técnicas de construcción.</li>
<li class=""MsoNoSpacing"">
<strong>Supervisión de Obras:</strong> Vigilancia y gestión de proyectos de construcción para asegurar calidad y cumplimiento de plazos.</li>
<li class=""MsoNoSpacing"">
<strong>Interiorismo:</strong> Diseño de interiores, incluyendo la selección de mobiliario y acabados.</li>
<li class=""MsoNoSpacing"">
<strong>Rehabilitación de Edificios:</strong> Restauración y adaptación de estructuras existentes.</li>
<li class=""MsoNoSpacing"">
<strong>Diseño Sostenible:</strong> Implementación de prácticas y materiales ecológicos en la construcción.</li>
<li class=""MsoNoSpacing"">
<strong>Modelado 3D y Visualización:</strong> Creación de representaciones tridimensionales de proyectos.</li>
<li class=""MsoNoSpacing"">
<strong>Gestión de Proyectos:</strong> Coordinación de todos los aspectos de un proyecto de construcción.</li>
<li class=""MsoNoSpacing"">
<strong>Licencias y Permisos:</strong> Asistencia en la obtención de los permisos necesarios para la construcción.</li>
</ul>
<p> </p>
<p> </p>
<p> </p>",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
pala-de-punta-estampada-gherardi-cabo-de-madera-c-color-marron-claro,Pala De Punta Estampada Gherardi Cabo De Madera C Color Marrón Claro,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
pala-ancha-cabo-madera,Pala Ancha Cabo Madera,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,300000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
chapa-para-techo-color-negra-c-25-trapezoidal-x-3-0-metros-color-negro,Chapa Para Techo Color Negra C-25 | Trapezoidal X 3.0 Metros Color Negro,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,600000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
ingeniero,INGENIERO,"<p>Experto en evaluar, calcular y garantizar la estabilidad y seguridad de cada obra. Diseña soluciones eficientes, optimiza materiales y coordina sistemas estructurales, eléctricos o hidráulicos para asegurar proyectos confiables y de alto rendimiento.</p>
<ul>
<li class=""MsoNoSpacing"">
<strong>Diseño y Desarrollo:</strong> Creación de planos y modelos para productos, sistemas o infraestructuras.</li>
<li class=""MsoNoSpacing"">
<strong>Análisis y Simulación:</strong> Evaluación de comportamientos a través de software de simulación.</li>
<li class=""MsoNoSpacing"">
<strong>Consultoría Técnica:</strong> Asesoramiento en la implementación de tecnologías y soluciones técnicas.</li>
<li class=""MsoNoSpacing"">
<strong>Gestión de Proyectos:</strong> Planificación y supervisión de proyectos desde la concepción hasta la finalización.</li>
<li class=""MsoNoSpacing"">
<strong>Pruebas y Validación:</strong> Realización de pruebas para asegurar que los productos cumplan con los estándares requeridos.</li>
<li class=""MsoNoSpacing"">
<strong>Mantenimiento y Soporte:</strong> Servicios de mantenimiento para asegurar el funcionamiento eficiente de sistemas e infraestructuras.</li>
<li class=""MsoNoSpacing"">
<strong>Investigación y Desarrollo:</strong> Innovación en nuevos productos o procesos.</li>
<li class=""MsoNoSpacing"">
<strong>Cumplimiento Normativo:</strong> Asegurarse de que los proyectos cumplan con las regulaciones y normativas aplicables.</li>
<li class=""MsoNoSpacing"">
<strong>Sostenibilidad y Eficiencia Energética:</strong> Implementación de soluciones que minimicen el impacto ambiental.</li>
<li class=""MsoNoSpacing"">
<strong>Capacitación y Formación:</strong> Entrenamiento para el personal en tecnologías o métodos específicos.</li>
</ul>",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
chapa-sinusoidal-de-cincalum-para-techo-ternium,Chapa Sinusoidal de Cincalum para Techo Ternium,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,600000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
espatula-mango-madera-n17-enduido-pintura,ESPATULA Mango Madera N17 Enduido Pintura,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,50000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
barra-hierro-torsionado-x-12-mts,BARRA HIERRO TORSIONADO X 12 MTS,"",Servicios Arneaz,,"","",true,SECCION (mm),"4,2mm",,Cantidad,x1,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
barra-hierro-torsionado-x-12-mts,,,,,,,,,"4,2mm",,,x40,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,6mm,,,x1,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,6mm,,,x40,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,8mm,,,x1,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,8mm,,,x40,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,10mm,,,x1,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,10mm,,,x40,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,12mm,,,x1,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,12mm,,,x40,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,16mm,,,x1,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,16mm,,,x40,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,25mm,,,x1,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
barra-hierro-torsionado-x-12-mts,,,,,,,,,25mm,,,x40,,,,,,400000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
agrimensor,AGRIMENSOR,"<p>Especialista en medir, delimitar y relevar terrenos con precisión técnica. Define linderos, niveles y superficies, aportando seguridad jurídica y exactitud para proyectos de obra. Su trabajo garantiza una base confiable para diseñar, construir y planificar.</p>
<ul>
<li class=""MsoNoSpacing"">
<strong>Levantamientos Topográficos:</strong> Medición y representación gráfica de las características físicas del terreno, incluyendo elevaciones, contornos y detalles naturales o artificiales.</li>
<li class=""MsoNoSpacing"">
<strong>Delimitación de Propiedades (Amojonamiento):</strong> Identificación y marcación de los límites legales de una propiedad, estableciendo los puntos de referencia (mojones).</li>
<li class=""MsoNoSpacing"">
<strong>Subdivisiones de Terrenos:</strong> División de una parcela de tierra en dos o más lotes, cumpliendo con las regulaciones locales y requisitos legales.</li>
<li class=""MsoNoSpacing"">
<strong>Elaboración de Planos:</strong> Creación de planos detallados que muestran la ubicación, dimensiones y características de una propiedad.</li>
<li class=""MsoNoSpacing"">
<strong>Replanteo de Obras:</strong> Marcación precisa de la ubicación de estructuras y elementos de construcción según los planos del proyecto.</li>
<li class=""MsoNoSpacing"">
<strong>Cálculo de Áreas y Volúmenes:</strong> Determinación precisa del área de terrenos y el volumen de materiales (como tierra, grava, etc.).</li>
<li class=""MsoNoSpacing"">
<strong>Control de Deformaciones:</strong> Monitoreo de estructuras para detectar movimientos o deformaciones.</li>
<li class=""MsoNoSpacing"">
<strong>Levantamientos Catastrales:</strong> Elaboración de mapas y registros de propiedades para fines fiscales y administrativos.</li>
<li class=""MsoNoSpacing"">
<strong>Servicios de GPS y GIS:</strong> Utilización de tecnología GPS y Sistemas de Información Geográfica (GIS) para la recopilación y análisis de datos espaciales.</li>
<li class=""MsoNoSpacing"">
<strong>Asesoramiento Legal:</strong> Asesoramiento sobre cuestiones relacionadas con la propiedad y los límites de terrenos.</li>
</ul>",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
escribano,ESCRIBANO,"<p>Profesional especializado en brindar seguridad jurídica a cada proyecto. Certifica contratos, escrituras, planos y documentación de obra, garantizando transparencia, legalidad y respaldo en cada etapa. Acompaña al cliente con precisión y confianza.</p>
<ul>
<li class=""MsoNoSpacing"">
<strong>Autenticación de Firmas:</strong> Certificación de que una firma en un documento es genuina y pertenece a la persona que dice ser. </li>
<li class=""MsoNoSpacing"">
<strong>Legalización de Documentos:</strong> Dar validez legal a documentos para que puedan ser utilizados en el extranjero. </li>
<li class=""MsoNoSpacing"">
<strong>Elaboración y Autorización de Escrituras Públicas: </strong>Redacción y certificación de documentos legales importantes, como compraventas de inmuebles, hipotecas, donaciones, testamentos, etc. </li>
<li class=""MsoNoSpacing"">
<strong>Actas Notariales:</strong> Documentación de hechos o situaciones que requieren ser probados legalmente, como inventarios, protestos, constataciones, etc. </li>
<li class=""MsoNoSpacing"">
<strong>Certificaciones y Copias Autenticadas:</strong> Emisión de copias certificadas de documentos originales que tienen el mismo valor legal que el original. </li>
<li class=""MsoNoSpacing"">
<strong>Asesoramiento Legal:</strong> Orientación sobre cuestiones legales relacionadas con los documentos y actos que se realizan ante el escribano. </li>
<li class=""MsoNoSpacing"">
<strong>Protocolización de Documentos:</strong> Incorporación de documentos privados al protocolo notarial para darles mayor seguridad y valor legal. </li>
<li class=""MsoNoSpacing"">
<strong>Constitución de Sociedades:</strong> Asesoramiento y formalización de la creación de empresas y sociedades. </li>
<li class=""MsoNoSpacing"">
<strong>Testamentos y Sucesiones:</strong> Asistencia en la redacción de testamentos y tramitación de herencias.</li>
<li class=""MsoNoSpacing"">
<strong>Contratos:</strong> Redacción y revisión de contratos de diversa índole, como alquileres, compraventas, etc.</li>
</ul>",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
campo-de-189-has-san-luis-del-palmar,CAMPO DE 189 HAS - SAN LUIS DEL PALMAR,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
planos-para-aprobacion-municipal1,PLANOS PARA APROBACION MUNICIPAL,"<p class=""MsoNoSpacing""><strong>1. Investigación Preliminar y Requisitos Municipales:</strong></p>
<ul>
<li class=""MsoNoSpacing""> <strong>Consultar las Normativas Locales:</strong> Investigar y comprender las ordenanzas de zonificación, códigos de construcción, reglamentos de edificación y cualquier otra normativa municipal aplicable al proyecto.</li>
<li class=""MsoNoSpacing"">
<strong>Reunión con Funcionarios Municipales (Opcional): </strong>Si es posible, reunirse con funcionarios de la municipalidad para discutir el proyecto y aclarar dudas sobre los requisitos.</li>
<li class=""MsoNoSpacing"">
<strong>Identificar los Requisitos Específicos:</strong> Determinar los documentos, planos y formularios que se requieren para la presentación del proyecto.</li>
</ul>
<p class=""MsoNoSpacing""><strong>2. Diseño y Elaboración de los Planos:</strong></p>
<p class=""MsoNoSpacing""> </p>
<ul>
<li class=""MsoNoSpacing"">
<strong>Levantamiento del Terreno (si es necesario):</strong> Realizar un levantamiento topográfico del terreno para obtener información precisa sobre las dimensiones, elevaciones y características del sitio.</li>
<li class=""MsoNoSpacing"">
<strong>Diseño Arquitectónico:</strong> Desarrollar el diseño del edificio o estructura, teniendo en cuenta las necesidades del cliente y las normativas municipales.</li>
<li class=""MsoNoSpacing"">
<strong>Elaboración de Planos Arquitectónicos:</strong> Crear los planos que incluyan:</li>
<li class=""MsoNoSpacing"">
<strong>Plano de Ubicación:</strong> Muestra la localización del terreno en relación con las calles y referencias cercanas.</li>
<li class=""MsoNoSpacing"">
<strong>Plano de Planta:</strong> Representación de la distribución interior del edificio en cada nivel.</li>
<li class=""MsoNoSpacing"">
<strong>Plano de Elevaciones (Fachadas):</strong> Vistas exteriores del edificio desde diferentes ángulos.</li>
<li class=""MsoNoSpacing"">
<strong>Plano de Cortes (Secciones):</strong> Vistas internas del edificio que muestran la estructura y detalles constructivos.</li>
<li class=""MsoNoSpacing"">
<strong>Plano de Techos:</strong> Representación de la forma y pendiente del techo.</li>
<li class=""MsoNoSpacing"">
<strong>Cuadro de Áreas:</strong> Detalle de las áreas construidas y descubiertas.</li>
<li class=""MsoNoSpacing"">
<strong>Diseño Estructural:</strong> Calcular y diseñar la estructura del edificio para garantizar su estabilidad y seguridad.</li>
<li class=""MsoNoSpacing"">
<strong>Elaboración de Planos Estructurales:</strong> Crear los planos que incluyan:</li>
<li class=""MsoNoSpacing"">
<strong>Plano de Cimentación:</strong> Detalles de la base del edificio y cómo se apoya en el terreno.</li>
<li class=""MsoNoSpacing"">
<strong>Plano de Estructura: </strong>Detalles de columnas, vigas, losas y otros elementos estructurales.</li>
<li class=""MsoNoSpacing"">
<strong>Memoria de Cálculo: </strong>Documento que justifica los cálculos y decisiones de diseño estructural.</li>
<li class=""MsoNoSpacing"">
<strong>Diseño de Instalaciones:</strong> Diseñar los sistemas de instalaciones del edificio, como:</li>
<li class=""MsoNoSpacing"">
<strong>Instalación Eléctrica:</strong> Diseño de la red eléctrica, ubicación de enchufes, iluminación, etc.</li>
<li class=""MsoNoSpacing"">
<strong>Instalación Sanitaria:</strong> Diseño de la red de agua potable, desagües, etc.</li>
<li class=""MsoNoSpacing"">
<strong>Instalación de Gas (si aplica): </strong>Diseño de la red de gas y ubicación de artefactos.</li>
<li class=""MsoNoSpacing"">
<strong>Instalación de Climatización (si aplica): </strong>Diseño del sistema de calefacción, ventilación y aire acondicionado.</li>
<li class=""MsoNoSpacing"">
<strong>Elaboración de Planos de Instalaciones:</strong> Crear los planos que muestren los detalles de cada sistema de instalación.</li>
<li class=""MsoNoSpacing"">
<strong>Memoria Descriptiva: </strong>Redactar un documento que describa el proyecto, los materiales utilizados, las soluciones constructivas y el cumplimiento de las normativas.</li>
</ul>
<p class=""MsoNoSpacing""><strong>3. Revisión y Corrección de los Planos:</strong></p>
<ul>
<li class=""MsoNoSpacing""> <strong>Revisión Interna:</strong> Revisar cuidadosamente todos los planos y documentos para detectar errores, omisiones o inconsistencias.</li>
<li class=""MsoNoSpacing"">
<strong>Corrección de Errores: </strong>Realizar las correcciones necesarias en los planos y documentos.</li>
</ul>
<p class=""MsoNoSpacing""><strong>4. Presentación de los Planos a la Municipalidad:</strong></p>
<ul>
<li class=""MsoNoSpacing""> <strong>Completar los Formularios: </strong>Llenar todos los formularios requeridos por la municipalidad.</li>
<li class=""MsoNoSpacing"">
<strong>Presentar la Documentación: </strong>Entregar los planos, formularios y demás documentos en la oficina correspondiente de la municipalidad.</li>
<li class=""MsoNoSpacing"">
<strong>Pago de Tasas por parte del cliente:</strong> Abonar las tasas correspondientes por la revisión de los planos.</li>
</ul>
<p><strong>5. Seguimiento y Aprobación:</strong></p>
<ul>
<li class=""MsoNoSpacing"">
<strong>Seguimiento del Trámite:</strong> Mantenerse en contacto con la municipalidad para conocer el estado del trámite.</li>
<li class=""MsoNoSpacing"">
<strong>Atender las Observaciones:</strong> Responder a las observaciones o requerimientos adicionales que pueda hacer la municipalidad.</li>
<li class=""MsoNoSpacing"">
<strong>Realizar las Modificaciones:</strong> Modificar los planos según las indicaciones de la municipalidad, si es necesario.</li>
<li class=""MsoNoSpacing"">
<strong>Obtener la Aprobación:</strong> Una vez cumplidos todos los requisitos, obtener la aprobación de los planos por parte de la municipalidad.</li>
</ul>
<p class=""MsoNoSpacing""><strong>Consideraciones Adicionales:</strong></p>
<p class=""MsoNoSpacing""> </p>
<p class=""MsoNoSpacing""><strong>Comunicación:</strong> Mantener una comunicación fluida con la municipalidad y con las partes involucradas en el proyecto.</p>
<p class=""MsoNoSpacing""><strong>Paciencia: </strong>El proceso de aprobación de planos puede llevar tiempo, por lo que es importante ser paciente y estar preparado para realizar modificaciones si es necesario.</p>",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
planos-de-casas-de-dos-dormitorios,PLANOS DE CASAS DE DOS DORMITORIOS,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
modelo-1-planos-de-casas-de-tres-dormitorios,MODELO 1: PLANOS DE CASAS DE TRES DORMITORIOS,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
modelo-2-planos-de-casas-de-tres-dormitorios,MODELO 2: PLANOS DE CASAS DE TRES DORMITORIOS,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
modelo-3-planos-de-casas-de-tres-dormitorios,MODELO 3: PLANOS DE CASAS DE TRES DORMITORIOS,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
modelo-4-planos-de-casas-de-tres-dormitorios,MODELO 4: PLANOS DE CASAS DE TRES DORMITORIOS,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
modelo-5-planos-de-casas-de-tres-dormitorios,MODELO 5: PLANOS DE CASAS DE TRES DORMITORIOS,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
modelo-6-planos-de-casas-de-tres-dormitorios,MODELO 6: PLANOS DE CASAS DE TRES DORMITORIOS,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
modelo-8-planos-de-casas-de-tres-dormitorios,MODELO 8: PLANOS DE CASAS DE TRES DORMITORIOS,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
